               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098028,            0.035746,                   0,             0.23236,             0.26471,             0.16884,            0.043478,             0.06365,            0.029837,                   0,            0.070566,           0.0032704,           0.0032704
                   1,            0.067521,            0.031263,                   0,             0.29191,             0.39522,             0.25639,            0.091259,            0.065895,            0.022466,                   0,            0.040435,            0.006473,            0.006473
                   2,            0.059838,            0.029056,                   0,              0.3819,             0.49405,             0.37697,             0.11782,            0.056474,            0.020938,                   0,            0.010173,           0.0095436,           0.0095436
                   3,            0.051988,            0.026298,                   0,             0.41049,             0.62466,             0.44265,             0.23495,            0.045253,            0.018861,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.045302,            0.026543,                   0,             0.52317,             0.61213,              0.5401,             0.20692,            0.045351,               0.019,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.041961,            0.023642,                   0,             0.65952,             0.69485,             0.70684,             0.35519,            0.034155,            0.018208,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.038749,            0.022821,                   0,             0.64421,             0.71691,             0.68189,             0.38711,              0.0328,            0.018067,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.03623,            0.023284,                   0,             0.65893,             0.69608,             0.70797,             0.44853,            0.030873,            0.018457,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034739,            0.021915,                   0,             0.68124,              0.6875,             0.70244,             0.43981,            0.028907,            0.018152,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.033628,            0.021056,                   0,             0.66485,             0.74755,             0.73092,             0.44382,            0.028915,            0.017542,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.032198,            0.022181,                   0,             0.64649,              0.7114,             0.70074,             0.42095,            0.029699,            0.017989,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.031846,            0.021866,                   0,             0.69648,             0.73529,             0.73618,             0.45794,            0.027717,            0.017674,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.03046,             0.01989,                   0,             0.68691,             0.71324,             0.72607,             0.46947,            0.028369,            0.018408,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.030233,            0.020644,                   0,             0.65384,             0.70772,             0.67618,             0.43897,            0.027652,             0.01855,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.029117,            0.020634,                   0,             0.68417,             0.72794,              0.7169,             0.45894,            0.027514,            0.017715,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.028093,            0.019424,                   0,             0.61242,              0.7581,             0.68559,             0.45962,            0.027685,            0.018557,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.028361,            0.019743,                   0,             0.65606,             0.70772,             0.69067,             0.48023,             0.02523,            0.018348,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.028072,            0.019033,                   0,             0.71309,             0.64877,             0.71929,             0.48335,            0.026452,            0.018405,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.02762,            0.019073,                   0,             0.66313,             0.70404,             0.69865,             0.46026,            0.027478,            0.019516,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.026486,            0.018724,                   0,             0.68555,              0.7261,             0.71575,             0.49405,            0.026982,            0.018466,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.026413,            0.018459,                   0,             0.66159,              0.6875,             0.70279,             0.47877,             0.02755,            0.019653,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.026053,             0.01784,                   0,             0.67948,             0.68015,             0.70752,             0.47566,            0.026842,            0.019458,                   0,             0.00604,             0.00604,             0.00604
